EMPLOYEE_ID	EMPLOYEE_NAME	ENTRY_DATE	DISMISSAL_DATE	POSITION	MANAGER_FLAG	MANAGER_ID	CONTACT_PHONE_NUMBER	CONTACT_EMAIL	STORE_ID
000001	000001 000001 1002	2004-03-19T17:39:00Z			-1				
000002	000002 000002 1002	2004-03-19T17:39:00Z			-1				
000003	000003 000003 1002	2004-03-19T17:39:00Z			-1				
000005	000005 000005 1002	2004-04-01T17:39:00Z			-1				
000006	000006 000006 1002	2004-04-02T17:39:00Z			-1				
000007	000007 000007 1002	2004-04-05T17:39:00Z			-1				
000008	000008 000008 1002	2004-04-20T17:39:00Z			-1				
000009	000009 000009 1002	2004-04-20T17:39:00Z			-1				
000010	000010 000010 1002	2004-04-20T17:39:00Z			-1				
000011	000011 000011 1002	2004-04-27T17:39:00Z			-1				
000012	000012 000012 1002	2004-05-26T17:39:00Z			-1				
000014	000014 000014 1002	2004-05-28T17:39:00Z			-1				
000015	000015 000015 1002	2008-11-25T17:39:00Z			-1				
000016	000016 000016 1011	2007-12-21T17:39:00Z			-1				
000017	000017 000000 1013	2008-12-04T17:39:00Z			-1				
000018	000018 000000 1013	2008-12-04T17:39:00Z			-1				
000019	000019 000000 1013	2008-12-04T17:39:00Z			-1				
000020	000020 000000 1013	2008-12-04T17:39:00Z			-1				
000021	000021 000021 1002	2004-05-31T17:39:00Z			-1				
000022	000022 000022 1002	2004-05-31T17:39:00Z			-1				
000023	000023 000023 1002	2004-05-31T17:39:00Z			-1				
000024	000024 000024 1002	2004-05-31T17:39:00Z			-1				
000025	000025 000025 1002	2004-05-31T17:39:00Z			-1				
000026	000026 000026 1002	2004-05-31T17:39:00Z			-1				
000027	000027 000000 1002	2004-05-31T17:39:00Z			-1				
000028	000028 000000 1002	2006-01-03T17:39:00Z			-1				
000029	000029 000000 1002	2004-05-31T17:39:00Z			-1				
000030	000030 000000 1002	2004-03-12T17:39:00Z			-1				
000031	000031 000000 1002	2004-05-31T17:39:00Z			-1				
000032	000032 000000 1002	2004-05-31T17:39:00Z			-1				
000033	000033 000000 1002	2004-05-31T17:39:00Z			-1				
000034	000034 000000 1002	2004-05-31T17:39:00Z			-1				
000035	000035 000000 1002	2004-05-31T17:39:00Z			-1				
000036	000036 000000 1002	2004-05-28T17:39:00Z			-1				
000037	000037 000000 1002	2004-05-31T17:39:00Z			-1				
000038	000038 000000 1002	2004-05-31T17:39:00Z			-1				
000039	000039 000000 1002	2004-05-31T17:39:00Z			-1				
000040	000040 000000 1002	2004-05-31T17:39:00Z			-1				
000041	000041 000000 1002	2004-05-31T17:39:00Z			-1				
000042	000042 000000 1002	2004-05-31T17:39:00Z			-1				
000043	000043 000000 1002	2004-05-31T17:39:00Z			-1				
000044	000044 000000 1002	2004-05-31T17:39:00Z			-1				
000045	000045 000000 1002	2004-05-31T17:39:00Z			-1				
000046	000046 000000 1002	2004-05-31T17:39:00Z			-1				
000047	000047 000000 1002	2004-05-31T17:39:00Z			-1				
000048	000048 000000 1002	2004-05-31T17:39:00Z			-1				
000049	000049 000000 1002	2004-05-31T17:39:00Z			-1				
000050	000050 000000 1002	2004-05-30T17:39:00Z			-1				
000051	000051 000000 1002	2004-05-30T17:39:00Z			-1				
000052	000052 000000 1002	2004-05-30T17:39:00Z			-1				
000053	000053 000000 1002	2004-05-31T17:39:00Z			-1				
000054	000054 000000 1002	2004-05-31T17:39:00Z			-1				
000055	000055 000000 1002	2004-05-31T17:39:00Z			-1				
000056	000056 000000 1002	2004-05-31T17:39:00Z			-1				
000057	000057 000000 1002	2004-05-31T17:39:00Z			-1				
000058	000058 000000 1002	2004-05-31T17:39:00Z			-1				
000059	000059 000000 1002	2004-05-31T17:39:00Z			-1				
000060	000060 000000 1002	2004-08-15T17:39:00Z			-1				
000062	000062 000000 1002	2004-08-15T17:39:00Z			-1				
000063	000063 000000 1002	2004-08-15T17:39:00Z			-1				
000064	000064 000000 1054	2004-08-15T17:39:00Z			-1				
000065	000065 000000 1002	2004-08-15T17:39:00Z			-1				
000066	000066 000000 1002	2004-08-15T17:39:00Z			-1				
000067	000067 000000 1002	2004-08-15T17:39:00Z			-1				
000069	000069 000000 1002	2004-08-15T17:39:00Z			-1				
000071	000071 000000 1002	2004-05-31T17:39:00Z			-1				
000072	000072 000000 1002	2004-05-31T17:39:00Z			-1				
000073	000073 000000 1002	2004-05-31T17:39:00Z			-1				
000074	000074 000000 1002	2004-05-31T17:39:00Z			-1				
000075	000075 000000 1002	2004-05-31T17:39:00Z			-1				
000076	000076 000000 1002	2004-05-31T17:39:00Z			-1				
000077	000077 000000 1002	2004-05-31T17:39:00Z			-1				
000078	000078 000000 1002	2004-05-31T17:39:00Z			-1				
000079	000079 000000 1002	2004-05-31T17:39:00Z			-1				
000080	000080 000000 1002	2004-05-31T17:39:00Z			-1				
000081	000081 000000 1002	2004-05-31T17:39:00Z			-1				
000082	000082 000000 1002	2004-06-01T17:39:00Z			-1				
000083	000083 000000 1002	2004-06-01T17:39:00Z			-1				
000084	000084 000000 1002	2004-06-02T17:39:00Z			-1				
000085	000085 000000 1002	2004-06-02T17:39:00Z			-1				
000086	000086 000000 1002	2004-06-03T17:39:00Z			-1				
000087	000087 000000 1002	2004-06-07T17:39:00Z			-1				
000088	000088 000000 1002	2004-06-08T17:39:00Z			-1				
000089	000089 000000 1002	2004-06-23T17:39:00Z			-1				
000090	000090 000000 1002	2004-06-23T17:39:00Z			-1				
000091	000091 000000 1002	2004-06-23T17:39:00Z			-1				
000092	000092 000000 1002	2004-06-28T17:39:00Z			-1				
000093	000093 000000 1002	2004-06-29T17:39:00Z			-1				
000094	000094 000000 1002	2004-06-29T17:39:00Z			-1				
000095	000095 000000 1002	2004-07-05T17:39:00Z			-1				
000096	000096 000000 1002	2004-07-13T17:39:00Z			-1				
000099	000099 000000 1002	2004-08-03T17:39:00Z			-1				
